'1.41904849463892', '-0.392239483779292', '0.519396798859371', '-0.110400775417646', '-0.88533628854805', '0.652275506223666', '0.078907092099657', '-0.695044160639471', '-0.149506240250602', '-0.503182954175876', '-0.870606178497489', '0.197059495139732', '-0.288399297202276', '2.31610179876569', '1.18655282192047', '0.50359775655922', '1.41800593998121', '1.05621573830802', '-0.603733352223253', '-0.750445692168177', '1.09475920042886', '-0.0591426142357517', '0.0162263119515602', '0.211630788533087', '0.252262332376576', '0.150124695690199', '-0.117820035096425', '2.04463488334777', '-0.824144294107383', '-0.597644121449052', '1.01657897212049', '2.27518583376054', '0.296433636196023', '-0.924726033503629', '0.162289151540509', '1.9264208808675', '0.0822655272037998', '0.946497472451323', '-0.223497272036599', '0.0927853319823449', '-0.550616612746902', '-0.565650779056443', '-0.801709765945477', '-0.543432466972202', '0.150329313695857', '-1.13282156658062', '-0.219164910205942', '0.282737682498483', '-0.656862430590362', '-0.032398482073078', '-0.449330890351484', '-0.876775811400979', '0.63306928559564', '1.58943094670381', '0.812231428497728', '-0.497367846558513', '-1.29874474289677', '-0.322231712976393', '0.552486086650588', '-0.810807766789605', '-0.602026628290682'
'1.41904849463892', '-1.75573864167874', '0.69370823944371', '-1.21324641616866', '-0.411280916440414', '-1.51209321897304', '0.078907092099657', '-0.695044160639471', '0.780055904108963', '-0.503182954175876', '-1.11415571300723', '-0.951580071587297', '-0.896920656533934', '-1.4048461021141', '0.676849514125406', '0.0527068788549305', '-0.159703758161745', '-0.977417427763563', '1.80221147078058', '-0.833517307923175', '-0.0912407644189793', '1.43653185506195', '-0.789570131901424', '2.19879067815373', '1.71751495648531', '0.357334622304613', '1.28348425597561', '0.875814628967289', '-1.39587112720602', '0.323333399843064', '-0.516917278074553', '0.489239742113636', '-0.791567362702958', '1.55653884774611', '-0.81749061877634', '1.13190831418204', '2.36818569279585', '-0.0716733019256718', '1.2078292429627', '-0.129132862317309', '0.308719228484168', '0.0681559265632092', '-0.854434822624774', '-0.857323302438144', '0.81293666819772', '0.487831876273757', '0.383677774640801', '-0.606621743181704', '0.943080670336251', '-1.26458075212646', '-0.449330890351484', '0.0840327856192624', '-1.51928204467297', '0.597075029204615', '1.74414332288412', '0.692273464017222', '1.0287928896269', '0.615683560041019', '0.964031845073986', '-0.234815484037161', '-0.082547386385011'
'1.41904849463892', '-1.75573864167874', '0.138494021286186', '1.28936484553556', '1.32692211462092', '-1.51209321897304', '-0.743981154082481', '-0.695044160639471', '0.74085750043115', '-0.884487684156902', '0.891068787789632', '0.169710934027183', '0.73425465389676', '-0.597828289550656', '1.0409233054076', '-1.97630207081437', '2.02679609524289', '-0.977417427763563', '-1.04117786549668', '3.19865111833866', '0.430599220114071', '1.18982266424996', '-1.03130906505732', '-0.83424283758304', '0.32462048665355', '0.0350080697933025', '0.468439923413302', '0.356338960353744', '0.281819087952283', '0.981174486480289', '-0.571685001295804', '0.0294912432738383', '-1.31314701727275', '-0.0854746766103355', '-0.652947451242213', '4.11133043925254', '-0.0339677015551177', '1.56986733431479', '0.858725214914089', '-0.351051056616963', '0.0980976987706701', '0.0681559265632092', '-0.432634369190397', '0.0738861761108188', '-1.01081119324074', '-0.0239534214697293', '-0.896516241494417', '-0.0528696479468706', '1.16082440596532', '-0.382782065974515', '1.87889741946865', '0.148702595034086', '1.52475769384978', '-0.505542656905602', '-1.05159236027505', '1.64398651247781', '-0.781514157891511', '-0.322231712976393', '1.37557760349738', '-0.626490236308823', '0.187581819405938'
'-0.695044160639471', '0.698559842540263', '0.157861959128891', '-0.407320755619842', '-0.0952440017019907', '0.652275506223666', '0.078907092099657', '-0.695044160639471', '0.214478936757662', '0.259426505786178', '-0.578346737085801', '0.169710934027183', '0.210250150027833', '-1.54566800229296', '-0.498588726299957', '-1.14966879502317', '-0.279746887368274', '-0.105860356590028', '0.489877930960307', '-0.603472833524719', '-0.375880755982461', '-0.0283039653842526', '-0.870149776286723', '0.644921290781197', '0.0713669466841394', '0.357334622304613', '0.661476739020164', '-0.163136708259802', '-0.168064321699106', '0.191765182515619', '-1.00982678706582', '0.0471738778445997', '1.88949366712186', '1.55653884774611', '0.835420291452848', '0.138767605825201', '-0.731367074108623', '-0.680497867012324', '0.130160286812644', '-0.572969250916617', '0.839485483362181', '0.0681559265632092', '-1.64531067281423', '0.565648485007462', '2.06873536863459', '-0.109250971093644', '0.756221006849462', '1.20565784122321', '-0.0699010562859239', '-0.639730027502235', '-0.538878133036873', '-0.142311547332621', '-1.50390810659962', '-0.0644955824615155', '1.86063230968242', '-0.497367846558513', '-0.52289886538888', '0.615683560041019', '-0.544969269145138', '0.433335563955675', '-1.0799475308439'
'1.41904849463892', '-0.210439596059366', '-0.392510274567957', '-0.195235055475416', '-0.332271687755808', '0.652275506223666', '0.901795338281795', '-0.695044160639471', '1.0656442737616', '0.513629659106863', '-0.886842814131472', '-0.869534388249652', '-0.203882441739545', '-0.846974728328634', '-0.0617001767613265', '-0.217827647767643', '-0.436660406259666', '-1.03552123250847', '-0.603733352223253', '-0.929369172255866', '0.145959228550589', '-0.583399644711235', '-0.547831198745529', '-1.1778870290212', '-1.21299029173216', '-0.609645035229318', '-0.861369250767299', '0.48620787750713', '1.9782544451794', '-0.334507686794162', '-0.681220447738308', '-1.24365844582099', '-0.428113666758396', '0.279417217691096', '-0.361257290613532', '-0.258488677517533', '0.0047767080311884', '-0.300242251275609', '-0.668225446898523', '-0.616388028062202', '-0.879186199099958', '-0.248747426246617', '-0.748984709266179', '-0.679451829007443', '-0.600625688072922', '-0.109250971093644', '-0.530746522598641', '-0.640182476226239', '1.29336407113084', '-0.3711026131778', '0.893877749929364', '0.555198539927266', '-0.120253679998373', '-0.285019119683559', '-0.119680465888664', '0.692273464017222', '-0.26428357288625', '-0.547331378500572', '-1.64242462494087', '-0.557371162378529', '-0.768259985700497'
'-0.695044160639471', '1.15305956184008', '-0.305354554275788', '-1.29808069622643', '-0.806327059863444', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '0.281676200205341', '-0.75738610749656', '-0.0425377611643725', '-0.1037746770983', '-0.068655472999177', '1.38451076681325', '-0.945879384160935', '-0.187768255920691', '-0.687893526670473', '0.82380051932841', '-1.04117786549668', '0.10583096253719', '-0.518200751764203', '1.4827898283392', '0.257965245107455', '-0.625068112359814', '0.234172793807332', '0.587567874098406', '-0.711229505295295', '-0.422874542566574', '0.413035082433939', '-0.597644121449052', '-0.0240077690832885', '0.153269685269168', '1.22866876540448', '0.644309111992528', '0.611043244815402', '-0.457116819188899', '1.47706427231081', '-0.217126269693814', '-0.692510944501904', '-0.389645525190816', '1.10065618020692', '1.33576933780251', '0.35824148099906', '0.272683705239249', '0.16926095239591', '0.871670849581372', '-0.117562210512671', '1.02107380947826', '-0.997678712444552', '-0.236788906015583', '0.31182067247433', '-0.978399797624274', '0.617695347522292', '1.47916917809279', '-0.119680465888664', '1.40605825036266', '-0.52289886538888', '0.240517450834054', '-0.476378309407905', '1.12452630325861', '-0.955272512786539'
'-0.695044160639471', '0.334960067100412', '-0.381212310826379', '-1.00116071602423', '-1.20137320328647', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.631086628292304', '1.78464542571029', '-0.342915520393052', '-0.896882949362201', '0.0412164391023724', '0.00337289967446315', '-0.675424567779878', '-0.578540349931075', '-0.680176468364339', '2.33449944269587', '0.92732244423373', '-0.36064811054857', '-0.850280741921599', '0.372598469685235', '0.822022755804545', '-0.923889148392993', '-0.0733493618698098', '-0.908948262561249', '-1.29748946380502', '0.226470043200357', '-0.561712305144072', '-1.12391699075883', '-0.516917278074553', '-0.474463841992863', '-0.973294210675239', '-0.632812518062484', '-0.982033786310467', '-0.457116819188899', '-0.266434159072953', '-0.508032205230098', '0.873903650916202', '-0.58261786806008', '-0.971859672173897', '0.0681559265632092', '-1.06533504934196', '-0.888712385984739', '-0.190440182905102', '1.55405124657269', '-0.740725435298068', '0.484102080765695', '-1.64144280039135', '-1.21202321454125', '0.40136791515972', '-0.99687688602851', '0.00273782458840431', '0.376551491982571', '-0.119680465888664', '0.216416939786928', '-1.29874474289677', '-1.03504732046963', '-0.956515027568536', '-0.096577336176574', '-0.996830852138992'
'-0.695044160639471', '1.15305956184008', '1.24408047314056', '0.992444865333367', '0.773857513828675', '0.652275506223666', '0.901795338281795', '1.41904849463892', '-0.827078646681369', '1.27623911906892', '-0.81377795377855', '1.31835050075421', '0.269411948851744', '0.387925011701341', '-0.758641434358665', '1.67591403859037', '-0.68703607574757', '-0.338275575569637', '3.55198952387427', '-0.213675251905111', '1.18963919761669', '0.264663198704988', '-0.0643533324337383', '-0.415893387136589', '0.451247256638256', '-0.816854961843731', '-0.897116809213014', '1.39529029758083', '0.703584784500461', '-0.334507686794162', '1.126114418563', '0.109063098842265', '0.461639861625369', '-0.0854746766103355', '0.0874968026613604', '-0.655744960860267', '0.469709623066858', '0.0530006704470215', '1.96675104306837', '-0.0181737651674821', '0.696262843157003', '1.65267269061234', '3.09994442832251', '-0.752693023949497', '-0.998190100774041', '-0.748982593273002', '-1.07940110094231', '-1.71412593365137', '0.668534221064821', '1.78375642781604', '-0.404557269008789', '0.236468764954205', '1.70924495072994', '-0.174757351072537', '-1.05159236027505', '-0.782881761096689', '1.0287928896269', '-0.734914433104054', '2.19866912034418', '0.0416608116840127', '-0.726701646348043'
'1.41904849463892', '-0.483139427639255', '1.24408047314056', '1.20453056547779', '2.74908823094382', '-1.51209321897304', '0.901795338281795', '1.41904849463892', '0.617662517443738', '-0.376081377515533', '0.606927664194935', '-0.131123238210848', '-0.727886945608473', '0.794142031448044', '0.864087463927676', '0.473538364712267', '0.509107961703203', '0.5913853003488', '1.36476695750715', '2.07398924350176', '0.620359214489726', '1.14356469097271', '-0.547831198745529', '1.16785810383926', '0.794948489453885', '0.587567874098406', '0.732971855911594', '2.43424163480792', '0.919153918291752', '1.24431092113518', '0.742740356014234', '1.13023524530374', '1.06346253997513', '0.644309111992528', '-0.421091169716851', '2.32367716421024', '-0.305178568659259', '-0.632706177602792', '2.72567284317404', '-0.442712919479864', '0.97428326237882', '0.701962632182861', '0.885492047792031', '-0.794545135344956', '-0.139955813038293', '-0.62103626883713', '-0.313994096586329', '0.467321714243427', '1.06615321656138', '0.148633036275998', '-0.538878133036873', '0.495148002613501', '0.141103267248529', '-1.27737503718275', '0.229786494506233', '0.216416939786928', '-0.26428357288625', '0.615683560041019', '0.758258965862287', '1.58532012946056', '-0.602026628290682'
'1.41904849463892', '-0.301339539919329', '-0.110061181028519', '2.34979334625769', '2.11701440146698', '0.652275506223666', '0.078907092099657', '-0.695044160639471', '-0.104708064618816', '-0.75738610749656', '-0.123720939334286', '-0.0490775548732031', '-0.533498178044193', '1.05953715101589', '-0.592207701201092', '0.0827662707018831', '-0.356060019506711', '0.417073886114093', '-1.04117786549668', '-0.098653014705883', '-0.707960746139857', '1.20524198867571', '-0.547831198745529', '-0.371070231731612', '-0.543677364670145', '-0.356388458256145', '-0.575388783201578', '-1.04624534490283', '1.33154704380553', '0.718038051825399', '0.852275802456737', '0.400826569259829', '-0.437554022497216', '-1.10717198065435', '0.0874968026613604', '-0.0598605358461654', '0.0047767080311884', '0.44780158296055', '-0.590815423287744', '-0.548847708057959', '-1.06453314524784', '-0.819173461304304', '-0.3799093125111', '-0.459728244181284', '-0.64479951170638', '0.530480651085715', '-0.354635176463637', '0.265957315976215', '-0.940875998802187', '-0.77988346106281', '0.49091515784511', '-1.04768887914016', '0.202599019541918', '0.376551491982571', '-0.352658439485261', '1.40605825036266', '0.252947012119011', '-0.322231712976393', '-0.887924067831303', '-0.373053631897747', '-0.0202098773563303'
'-0.695044160639471', '1.24395950570004', '-0.76695707286024', '0.313770624871205', '-0.0952440017019907', '0.652275506223666', '0.901795338281795', '1.41904849463892', '1.0656442737616', '-0.248979800855191', '1.83279365456063', '3.23274977863259', '-0.254592555017184', '1.13536432803527', '0.167146206330337', '-0.0975900803798326', '0.011786426419011', '-0.454483185059442', '-1.04117786549668', '-0.590692584947027', '1.09475920042886', '1.97620820996319', '1.14434133334574', '0.689744446186173', '5.78766113456513', '6.34339916894323', '3.62852409001452', '0.48620787750713', '2.02511730035142', '0.0601969651881735', '0.140295400580466', '2.40780559304125', '2.6683230155745', '1.19164695344468', '3.37836015334391', '1.3305364558534', '1.12836458603406', '-1.17296005788446', '-0.782063716914373', '-0.0181737651674821', '4.46217579443434', '1.01886598499269', '0.780041934433437', '4.66715540176245', '4.65605932430853', '-0.32249484515343', '3.2691944459297', '1.60838663775763', '1.96552951589882', '3.12105377303985', '-1.03138796780652', '3.93188644580129', '0.556199595228904', '-0.615804425516624', '1.97712129648072', '1.88191477459296', '0.252947012119011', '4.93009381592111', '-1.02510598730577', '-0.695609310239116', '4.34341575465131'
